id,title,description,cluster,skills,duration_years
1,"Anlagenmechaniker/in – Sanitär-, Heizungs- und Klimatechnik (SHK)","Installiert und wartet Sanitär‑, Heizungs‑ und Klimaanlagen in Gebäuden. Plant Leitungsführungen, montiert Komponenten, nimmt Anlagen in Betrieb und weist Kundinnen/Kunden ein.",Bau & Handwerk,Installation|Heizung|Sanitär|Klima|Rohrleitungsbau|Inbetriebnahme|Kundenservice,3.5
2,Dachdecker/in,"Deckt und dichtet Dächer, installiert Dämmungen und Dachfenster, setzt Blitzschutz um und achtet auf Arbeitssicherheit in der Höhe und Witterungseinflüsse.",Bau & Handwerk,Eindecken|Abdichten|Holzarbeiten|Wärmedämmung|Absturzsicherung|Wetter-/Materialkunde,3.0
3,Industrielackierer/in,"Beschichtet industrielle Bauteile, bereitet Oberflächen vor, wählt Lack­systeme, sichert Korrosionsschutz und dokumentiert Schichtdicken‑ und Haftungsprüfungen.",Bau & Handwerk,Beschichtung|Untergrundvorbereitung|Lackchemie|Applikation|Korrosionsschutz|Prüfungen|Arbeitssicherheit,3.0
4,Industriemechaniker/in,"Stellt Bauteile und Baugruppen her, montiert Maschinen und Anlagen und nimmt sie in Betrieb. Führt Wartungen durch und stellt Qualität und Maßhaltigkeit sicher.",Bau & Handwerk,Fertigung|Montage|Maschinenbau|CNC-Grundlagen|Wartung|Qualitätssicherung|Zeichnungen lesen,3.5
5,Konstruktionsmechaniker/in,"Fertigt Metallkonstruktionen aus Blechen, Profilen und Rohren, schweißt Baugruppen, montiert vor Ort und stellt die Maßhaltigkeit und Sicherheit der Konstruktionen sicher.",Bau & Handwerk,Blechbearbeitung|Schweißen|Stahlbau|Montage|Zeichnungen lesen|Sicherheit|Qualität,3.5
6,Straßenbauer/in,"Baut und saniert Straßen, Wege und Plätze, führt Erd‑ und Asphaltarbeiten aus, bedient Baumaschinen und achtet auf Entwässerung und Verkehrs­sicherheit.",Bau & Handwerk,Erdarbeiten|Asphalt|Pflasterbau|Baumaschinen|Vermessung|Entwässerung|Sicherheit,3.0
7,Tischler/in,"Fertigt Möbel, Innenausbauten und Bauelemente aus Holz und Holzwerkstoffen. Nutzt CAD/CNC, montiert vor Ort und behandelt Oberflächen.",Bau & Handwerk,Holzverarbeitung|CAD|CNC-Holzbearbeitung|Montage|Oberflächenbehandlung|Aufmaß|Kundenberatung,3.0
8,Zerspanungsmechaniker/in,"Fertigt Präzisionsbauteile an CNC‑Maschinen, richtet Maschinen ein, erstellt Programme und prüft Maßhaltigkeit. Optimiert Werkzeuge, Schnittwerte und Prozesse.",Bau & Handwerk,CNC-Drehen|CNC-Fräsen|CAM|Werkstoffkunde|Messtechnik|Qualitätssicherung|Rüsten,3.5
9,Elektroniker/in für Automatisierungstechnik,"Plant, programmiert und betreibt automatisierte Produktionsanlagen. Bindet Sensorik/Aktoren ein, nutzt Feldbussysteme und optimiert Abläufe hinsichtlich Verfügbarkeit und Qualität.",Elektro/Mechatronik,Automatisierung|SPS|Robotik|Sensorik|Feldbus|Fehlersuche|Inbetriebnahme,3.5
10,Elektroniker/in für Betriebstechnik,"Installiert, wartet und repariert Anlagen der Energieversorgung und Automatisierung. Liest Schaltpläne, konfiguriert SPS, führt Inbetriebnahmen durch und stellt den sicheren Betrieb sicher.",Elektro/Mechatronik,MSR-Technik|SPS|Schaltpläne|Inbetriebnahme|Wartung|Arbeitssicherheit|Energieversorgung,3.5
